stop_name,stop_id,stop_lat,stop_lon
(Theneyuru)I Basapura Gate,306,13.22602,77.83624
10th Cross Magadi Road,3ow,12.97574,77.55706
10th Cross Magadi Road,43a,12.97556,77.55562
10th Stone NICE Road,17,12.87242,77.49865
10th Stone NICE Road,64m,12.87273,77.4986
11th Block Anjanapura,4q9,12.85225,77.57235
11th Block Anjanapura,687,12.85224,77.57265
12th Block Nagarabhavi,1rs,12.96018,77.51398
12th Block Nagarabhavi,4h2,12.96076,77.51351
12th Main 7th Cross BTM Layout,2am,12.91385,77.61022
13th Main 7th Cross BTM Layout,29b,12.91405,77.61007
14th Main HSR Layout,6du,12.91746,77.63812
14th Main HSR Layout,6gg,12.91637,77.63472
14th Main HSR Layout,z0,12.91619,77.63521
16th Main Hopcoms BTM Layout,1le,12.91971,77.61036
17th Main Hopcoms BTM Layout,2it,12.91953,77.61028
18th Main Jayanagara,3ls,12.92343,77.58964
18th Main Jayanagara,uv,12.92328,77.58898
19th Main 13th Cross HSR Layout,20y,12.91593,77.65176
19th Main 13th Cross HSR Layout,694,12.91582,77.65175
1st Block Rajajinagara,3i6,13.00515,77.54887
1st Block Rajajinagara,68,13.0047,77.54909
1st Block Vidyaranyapura,1ml,13.07023,77.55539
1st Block Vidyaranyapura,320,13.07021,77.5555
1st Block Vishweshwaraiah Layout,3hr,12.93747,77.47876
1st Block Vishweshwaraiah Layout,5yo,12.93752,77.4789
1st Cross Magadi Road,1l5,12.97569,77.563
1st Cross Magadi Road,4si,12.97569,77.5628
1st Main Kodichikkanahalli,5fa,12.89854,77.61543
1st Main Kodichikkanahalli,y4,12.89847,77.6155
1st Stage 3rd Block Nagarabhavi,32g,12.9533,77.52158
1st Stage 3rd Block Nagarabhavi (Nayandahalli),1xi,12.95302,77.52026
1st Stage 3rd Block Nagarabhavi (Summanahalli),57k,12.95286,77.52017
1st Stage HBR Layout,5sd,13.02116,77.6263
2nd Stage  H B R Layout (2nd Cross),4u6,13.03172,77.61208
2nd Stage 11th Block Nagarabhavi,1zk,12.97754,77.51333
2nd Stage 11th Block Nagarabhavi,4ae,12.97758,77.51336
2nd Stage 9th Block Nagarabhavi,70,12.96864,77.51027
2nd Stage H B R Layout (1st Main),n9,13.02881,77.61556
2nd Stage Kanteeravanagara,67j,13.01505,77.53901
2nd stage Kuvempunagara,4rl,13.07313,77.54132
2nd stage Kuvempunagara,pn,13.07306,77.54142
3rd Block Jayanagara,4eb,12.9318,77.58392
3rd Block Jayanagara,wy,12.93349,77.58396
3rd Block Jn Banashankari 6th Phase,1xv,12.87818,77.51651
3rd Block Jn Banashankari 6th Phase,3gf,12.87821,77.51657
3rd Block Vidyaranyapura,2rh,13.07223,77.55637
3rd Block Vidyaranyapura,3da,13.07237,77.55647
3rd Main Road Annapoorneshwarinagara,4x0,12.97816,77.50434
3rd Main Road Annapoorneshwarinagara,ou,12.97811,77.50446
3rd Stage Basaveshwaranagara,44,12.98898,77.54254
4th Block HBR Layout,1ql,13.03435,77.63264
4th Block HBR Layout,59h,13.03437,77.63268
4th Phase Yalahanka New Town Iyengar Bakery,o1,13.1042,77.56999
4th Stone NICE Road,1v4,13.009,77.47509
4th T Block Jayanagara,17q,12.92307,77.59353
4th T Block Jayanagara,66z,12.92308,77.59345
5th Block HBR Layout,2pn,13.03582,77.6315
5th Block HBR Layout,2to,13.03585,77.63142
5th Block Jayanagara,39j,12.91732,77.58368
5th Block Jayanagara,6bd,12.91722,77.58356
5th Block Vishweshwaraiah Layout,1op,12.95838,77.4816
5th Cross Magadi Road,3a8,12.97578,77.56071
5th Cross Magadi Road,5w2,12.97567,77.56081
5th Cross Sriramapura,24s,12.99214,77.56647
5th Phase Yelahanka New Town,2be,13.10575,77.57251
5th Stone NICE Road,3d4,12.97117,77.47148
6th Block Rajajinagara,434,12.97944,77.55359
6th Block Rajajinagara,4av,12.97953,77.55377
7th Cross Srirampura,5yc,12.99051,77.56787
7th Cross Wilson Garden,19q,12.94684,77.59465
7th Cross Wilson Garden,6h,12.94699,77.59436
80 feet Road Kalyananagara,wi,13.02564,77.6406
80 feet Road Kalyananagara,yh,13.02546,77.64042
80ft Road Banasawadi,21r,13.01511,77.64267
